,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
498,Champerico,MX,16.38,89.6,46,90,9.17
499,Tromso,NO,69.65,46.4,93,75,2.24
500,Rikitea,PF,-23.12,72.03,100,44,7.74
501,Saint-Philippe,CA,45.36,77.9,47,1,19.46
502,Salalah,OM,17.01,82.4,88,75,5.82
503,Vaini,IN,15.34,68.61,98,92,3.49
504,Rikitea,PF,-23.12,72.03,100,44,7.74
505,Rikitea,PF,-23.12,72.03,100,44,7.74
506,Teguldet,RU,57.31,64.38,54,64,5.17
507,Lompoc,US,34.64,69.26,37,1,10.29
508,Mataura,NZ,-46.19,24.33,77,0,2.37
509,Tutoia,BR,-2.76,84.2,74,20,9.17
510,Kloulklubed,PW,7.04,78.8,94,75,4.7
511,Torbay,CA,47.66,66.2,59,40,9.17
512,Cherskiy,RU,68.75,56.73,53,0,1.92
513,Tuktoyaktuk,CA,69.44,44.6,48,75,6.93
514,Rocha,UY,-34.48,61.23,82,0,4.94
515,Rikitea,PF,-23.12,72.03,100,44,7.74
516,Busselton,AU,-33.64,60.87,100,88,7.74
517,Manbij,SY,36.53,71.6,60,0,10.29
518,Sao Filipe,CV,14.9,73.38,97,0,13.44
519,Busselton,AU,-33.64,60.87,100,88,7.74
520,Mataura,NZ,-46.19,24.33,77,0,2.37
521,Kavieng,PG,-2.57,82.29,100,12,3.71
522,Caravelas,BR,-17.73,75.63,100,56,15.68
523,Baruun-Urt,MN,46.68,50.7,82,44,3.15
524,Gulbene,LV,57.18,55.56,60,36,7.63
525,Avarua,CK,-21.21,77.0,69,20,8.05
526,New Norfolk,AU,-42.78,42.8,75,20,9.17
527,Jamestown,AU,-33.21,25.86,69,0,1.25
528,Vaini,IN,15.34,68.61,98,92,3.49
529,Bluff,AU,-23.58,39.9,89,36,2.82
530,Butaritari,KI,3.07,84.18,100,76,8.63
531,Birao,CF,10.3,70.32,96,76,3.15
532,Hami,CN,42.84,70.5,60,68,4.27
533,Provideniya,RU,64.42,42.8,75,75,11.18
534,Sinjar,SY,35.59,68.79,56,0,9.31
535,Nouakchott,MR,18.08,71.94,87,8,14.23
536,Barrow,AR,-38.31,57.54,53,0,11.43
537,Kenora,CA,49.76,84.2,28,1,4.38
538,Bundaberg,AU,-24.87,61.05,100,0,15.9
539,Castro,CL,-42.48,46.74,98,88,13.0
540,Ankazoabo,MG,-22.29,58.98,78,0,7.85
541,Bambous Virieux,MU,-20.34,71.6,88,75,5.28
542,Khatanga,RU,71.98,50.16,86,64,21.5
543,Flinders,AU,-34.58,44.6,93,0,12.75
544,Uttaradit,TH,17.63,75.36,99,64,4.27
545,Rome,IT,41.89,71.6,68,75,10.29
546,Marolambo,MG,-20.05,54.3,91,8,2.37
547,Sept-Iles,CA,50.2,66.2,48,75,10.29
548,Sitka,US,37.17,84.0,59,0,14.0
549,Sao Joao da Barra,BR,-21.64,75.2,69,0,8.05
550,Qazvin,IR,36.28,66.2,63,0,4.7
551,Rikitea,PF,-23.12,72.03,100,44,7.74
552,Tasiilaq,GL,65.61,41.0,75,75,2.24
553,Nhulunbuy,AU,-12.18,71.6,88,68,5.82
554,Kanchanaburi,TH,14.03,73.74,97,100,2.93
555,Peruibe,BR,-24.32,69.51,100,0,3.04
556,Kaitangata,NZ,-46.28,26.85,76,0,3.94
557,Cape Town,ZA,-33.93,48.2,100,0,2.24
558,Thinadhoo,MV,0.53,80.94,100,12,2.93
559,Dingle,PH,11.0,74.19,96,56,3.15
560,Rikitea,PF,-23.12,72.03,100,44,7.74
561,Talcahuano,CL,-36.72,53.6,62,75,11.41
562,Tasiilaq,GL,65.61,41.0,75,75,2.24
563,Sisimiut,GL,66.94,36.48,98,12,1.7
564,Sao Filipe,CV,14.9,73.38,97,0,13.44
565,Kapaa,US,22.08,80.42,69,1,12.75
566,Cape Town,ZA,-33.93,48.2,100,0,2.24
567,Ponta Delgada,PT,37.73,71.6,88,40,10.29
568,Ushuaia,AR,-54.81,33.8,80,75,18.34
569,Miri,NG,10.31,67.26,100,92,4.72
570,Faya,SA,18.39,78.8,15,0,6.93
571,Bethel,US,60.79,55.4,66,90,3.36
572,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
573,Margate,AU,-43.03,42.8,75,20,9.17
574,Rikitea,PF,-23.12,72.03,100,44,7.74
575,Aykhal,RU,65.95,52.23,81,0,2.71
576,Nanortalik,GL,60.14,37.92,93,32,38.16
577,Nemuro,JP,43.32,51.69,100,92,11.65
578,Charters Towers,AU,-20.07,38.46,77,0,3.27
579,Kapaa,US,22.08,80.42,69,1,12.75
580,Hilo,US,19.71,76.57,69,20,10.29
581,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
582,Cockburn Town,TC,21.46,84.36,96,0,11.1
583,Kodiak,US,39.95,77.0,73,40,10.29
584,Taoudenni,ML,22.68,100.83,12,76,12.44
585,Mataura,NZ,-46.19,24.33,77,0,2.37
586,Katsuura,JP,33.93,68.97,93,92,2.37
587,Atuona,PF,-9.8,80.4,100,20,11.21
588,Vuktyl,RU,63.86,61.32,60,24,6.4
589,Namibe,AO,-15.19,68.34,100,12,6.06
590,Dori,BF,14.03,89.13,36,8,14.34
591,Saint-Philippe,CA,45.36,77.9,47,1,19.46
592,Port Alfred,ZA,-33.59,58.98,96,0,9.08
593,Sobolevo,RU,54.43,58.08,60,0,8.97
594,Olinda,EC,-2.03,78.8,65,75,8.05
595,Havelock,US,34.88,84.88,66,40,8.05
596,Phan Thiet,VN,10.93,75.63,100,32,4.16
597,Rikitea,PF,-23.12,72.03,100,44,7.74
598,Podor,MR,16.65,89.31,35,0,4.94
599,Rikitea,PF,-23.12,72.03,100,44,7.74
600,Avarua,CK,-21.21,77.0,69,20,8.05
601,Ushuaia,AR,-54.81,33.8,80,75,18.34
602,Lagoa,PT,37.14,69.8,88,0,5.82
603,Carnarvon,ZA,-30.97,31.26,66,0,4.38
604,Rikitea,PF,-23.12,72.03,100,44,7.74
605,Yerbogachen,RU,61.28,68.16,82,76,0.92
606,Luderitz,NA,-26.65,52.32,88,0,9.75
607,Hilo,US,19.71,76.57,69,20,10.29
608,Bilma,NE,18.69,91.38,25,0,10.54
609,Mandalgovi,MN,45.76,57.99,28,64,5.17
610,Albany,US,42.65,72.66,53,90,5.82
611,Panama City,US,30.16,91.49,62,1,16.11
612,Rikitea,PF,-23.12,72.03,100,44,7.74
613,Qaanaaq,GL,77.48,31.98,98,68,3.6
614,Jamestown,AU,-33.21,25.86,69,0,1.25
615,Seoul,KR,37.57,66.94,82,40,2.24
616,Fare,PF,-16.7,81.39,96,68,18.25
617,Jamestown,AU,-33.21,25.86,69,0,1.25
618,Atuona,PF,-9.8,80.4,100,20,11.21
619,Mar del Plata,AR,-46.43,52.14,52,0,24.74
620,Yellowknife,CA,62.45,84.2,35,40,5.82
621,Mataura,NZ,-46.19,24.33,77,0,2.37
622,Avarua,CK,-21.21,77.0,69,20,8.05
623,Punta Arenas,CL,-53.16,35.6,80,40,24.16
624,Ubatuba,BR,-23.43,73.4,53,20,4.7
625,Caravelas,BR,-17.73,75.63,100,56,15.68
626,Tooele,US,40.53,80.2,31,1,5.82
627,Ushuaia,AR,-54.81,33.8,80,75,18.34
628,Dikson,RU,73.51,33.69,88,0,21.27
629,Ancud,CL,-41.87,47.91,96,92,13.44
630,Victoria,BN,5.28,78.8,100,75,1.12
631,Mayo,CA,63.59,75.2,31,75,3.36
632,Chicama,PE,-7.84,64.4,88,90,4.7
633,Caravelas,BR,-17.73,75.63,100,56,15.68
634,Katsuura,JP,33.93,68.97,93,92,2.37
635,Cape Town,ZA,-33.93,48.2,100,0,2.24
636,Salinopolis,BR,-0.61,82.2,94,88,14.9
637,Busselton,AU,-33.64,60.87,100,88,7.74
638,Chuy,UY,-33.69,60.96,87,0,4.61
639,Itatskiy,RU,56.07,58.53,89,76,8.41
640,Banikoara,BJ,11.3,80.31,71,68,11.65
641,Hermanus,ZA,-34.42,36.75,90,0,2.15
642,Hobart,AU,-42.88,42.8,75,20,9.17
643,Pemberton,AU,-34.44,51.06,94,44,6.4
644,Hithadhoo,MV,-0.6,83.91,100,56,6.4
645,Carnarvon,ZA,-30.97,31.26,66,0,4.38
646,Mataura,NZ,-46.19,24.33,77,0,2.37
647,Esperance,TT,10.24,84.2,74,20,12.75
648,Ushuaia,AR,-54.81,33.8,80,75,18.34
649,Nishihara,JP,35.74,66.65,100,90,3.36
650,New Norfolk,AU,-42.78,42.8,75,20,9.17
651,Butaritari,KI,3.07,84.18,100,76,8.63
652,Bambous Virieux,MU,-20.34,71.6,88,75,5.28
653,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
654,Tiksi,RU,71.64,54.3,72,48,3.71
655,Navirai,BR,-23.07,75.0,54,0,5.84
656,Ushuaia,AR,-54.81,33.8,80,75,18.34
657,Nome,US,30.04,87.42,70,75,14.99
658,Palekh,RU,56.8,57.36,62,0,14.12
659,Aklavik,CA,68.22,52.21,81,90,5.06
660,Khandyga,RU,62.65,61.86,50,92,3.38
661,Mae Hong Son,MM,19.3,71.04,98,92,2.15
662,Port Elizabeth,US,39.31,80.6,57,40,6.93
663,Ushuaia,AR,-54.81,33.8,80,75,18.34
664,Albany,US,42.65,72.66,53,90,5.82
665,Grand-Santi,GF,4.27,80.4,81,64,2.71
666,Ahipara,NZ,-35.17,53.94,100,100,10.65
667,Butaritari,KI,3.07,84.18,100,76,8.63
668,East London,ZA,-33.02,64.38,100,0,6.85
669,Rikitea,PF,-23.12,72.03,100,44,7.74
670,Port Elizabeth,US,39.31,80.6,57,40,6.93
671,Atar,MR,20.52,96.6,20,80,7.07
672,Bandarbeyla,SO,9.49,77.79,82,32,30.78
673,Dumai,ID,1.68,78.51,93,56,3.71
674,Ushuaia,AR,-54.81,33.8,80,75,18.34
675,Torbay,CA,47.66,66.2,59,40,9.17
676,Nosy Varika,MG,-20.58,67.17,100,0,2.15
677,Ancud,CL,-41.87,47.91,96,92,13.44
678,Tuatapere,NZ,-46.13,34.68,100,0,4.94
679,Biak,ID,-0.91,74.91,100,32,3.71
680,Portland,US,45.52,83.73,37,40,4.7
681,Ushuaia,AR,-54.81,33.8,80,75,18.34
682,Ouro Preto do Oeste,BR,-10.75,86.07,41,24,2.04
683,Saint-Philippe,CA,45.36,77.9,47,1,19.46
684,Vaini,IN,15.34,68.61,98,92,3.49
685,Albany,US,42.65,72.66,53,90,5.82
686,Ust-Nera,RU,64.57,59.88,41,44,2.59
687,Nanortalik,GL,60.14,37.92,93,32,38.16
688,Saint-Philippe,CA,45.36,77.9,47,1,19.46
689,Akureyri,IS,65.68,51.8,67,0,11.41
